Domain name,Domain type,Agency,Organization name,City,State,Security contact email,URL,HasRobotsTxt,UserAgents
36thdistrictcourtmi.gov,City,Non-Federal Agency,36th District Court,Detroit,MI,govdnssecurity@36thdistrictcourt.org,http://36thdistrictcourtmi.gov,False,[]
59dcmi.gov,City,Non-Federal Agency,59th District Court,Walker,MI,soc@walker.city,http://59dcmi.gov,False,[]
aberdeenmd.gov,City,Non-Federal Agency,City of Aberdeen,Aberdeen,MD,(blank),http://aberdeenmd.gov,False,[]
aberdeenwa.gov,City,Non-Federal Agency,City of Aberdeen,Aberdeen,WA,rlampky@aberdeenwa.gov,http://aberdeenwa.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
abilenetx.gov,City,Non-Federal Agency,City of Abilene,Abilene,TX,ted.harvey@abilenetx.gov,http://abilenetx.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
abingdon-va.gov,City,Non-Federal Agency,Town of Abingdon,Abingdon,VA,itdept@abingdon-va.gov,http://abingdon-va.gov,True,[]
abingtonma.gov,City,Non-Federal Agency,Town of Abington,Abington,MA,wnorling@abingtonma.gov,http://abingtonma.gov,True,[]
abingtonpa.gov,City,Non-Federal Agency,Abington Township,Abington,PA,nvasserman@AbingtonPA.gov,http://abingtonpa.gov,False,[]
abitaspringsla.gov,City,Non-Federal Agency,Town Of Abita Springs,Abita Springs,LA,support@abitaspringsla.gov,http://abitaspringsla.gov,True,[]
abseconnj.gov,City,Non-Federal Agency,City of Absecon,Absecon,NJ,support@macregsolutions.com,http://abseconnj.gov,False,[]
accessprincetonnj.gov,City,Non-Federal Agency,Princeton,Princeton,NJ,pdepasquale@princetonnj.gov,http://accessprincetonnj.gov,False,[]
acnj.gov,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org,http://acnj.gov,True,[]
acnjpolice.gov,City,Non-Federal Agency,City of Atlantic City,Atlantic City,NJ,pquinlan@cityofatlanticcity.org,http://acnjpolice.gov,False,[]
acton-ma.gov,City,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,mhald@actonma.gov,http://acton-ma.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
actonma.gov,City,Non-Federal Agency,"Town of Acton, Massachusetts",Acton,MA,mhald@actonma.gov,http://actonma.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
acworth-ga.gov,City,Non-Federal Agency,City of Acworth,Acworth,GA,it@acworth.org,http://acworth-ga.gov,True,[]
adairia.gov,City,Non-Federal Agency,City of Adair,Adair,IA,tim@wwadair.com,http://adairia.gov,True,[]
adak-ak.gov,City,Non-Federal Agency,City of Adak,Adak,AK,adak@adak-ak.gov,http://adak-ak.gov,False,[]
adamn.gov,City,Non-Federal Agency,City Of Ada,Ada,MN,dmarcussen@adamn.gov,http://adamn.gov,True,"['Baiduspider', 'dotbot']"
adaoh.gov,City,Non-Federal Agency,Village of Ada Ohio,Ada,OH,(blank),http://adaoh.gov,False,[]
addisontx.gov,City,Non-Federal Agency,Town Of Addison,Dallas,TX,(blank),http://addisontx.gov,False,[]
addisonvt.gov,City,Non-Federal Agency,Town of Addison Vermont,Addison,VT,security@civally.com,http://addisonvt.gov,True,[]
